"English","Turkish"
"a, an","bir"
"abandon","terk etmek"
"ability","yetenek"
"able","yapabilen"
"about","hakkında"
"above","üstünde"
"absolute","mutlak"
"absolutely","kesinlikle"
"accept","kabul etmek"
"acceptable","kabul edilebilir"
"access","erişim"
"accident","kaza"
"accommodation","konaklama"
"accompany","eşlik etmek"
"according to","göre"
"account","hesap"
"accurate","doğru"
"accuse","suçlamak"
"achieve","başarmak"
"achievement","başarı"
"acknowledge","kabul etmek"
"acquire","edinmek"
"across","karşısında"
"act","hareket"
"action","eylem"
"active","aktif"
"activity","etkinlik"
"actor","aktör"
"actress","aktris"
"actual","gerçek"
"actually","aslında"
"add","eklemek"
"addition","ek"
"additional","ekstra"
"address","adres"
"administration","yönetim"
"admire","hayran olmak"
"admit","kabul etmek"
"adopt","evlat edinmek"
"adult","yetişkin"
"advance","ilerlemek"
"advanced","ileri"
"advantage","avantaj"
"adventure","macera"
"advertise","reklam yapmak"
"advertisement","reklam"
"advertising","reklamcılık"
"advice","tavsiye"
"advise","tavsiye etmek"
"affair","ilişki"
"affect","etkilemek"
"afford","karşılamak"
"afraid","korkmuş"
"after","sonra"
"afternoon","öğleden sonra"
"afterwards","sonrasında"
"again","tekrar"
"against","karşı"
"age","yaş"
"agency","ajans"
"agenda","gündem"
"agent","ajan"
"aggressive","agresif"
"ago","önce"
"agree","katılmak"
"agreement","anlaşma"
"ahead","ileride"
"aid","yardım"
"aim","amaç"
"air","hava"
"aircraft","uçak"
"airline","havayolu"
"airport","havaalanı"
"alarm","alarm"
"album","albüm"
"alcohol","alkol"
"alcoholic","alkolik"
"alive","canlı"
"all","tüm"
"allow","izin vermek"
"almost","neredeyse"
"alone","yalnız"
"along","boyunca"
"already","zaten"
"also","ayrıca"
"alter","değiştirmek"
"alternative","alternatif"
"although","olmasına rağmen"
"always","her zaman"
"amazed","şaşırmış"
"amazing","harika"
"ambition","hırs"
"ambitious","hırslı"
"among","arasında"
"amount","miktar"
"analyse","analiz etmek"
"analysis","analiz"
"ancient","antik"
"and","ve"
"anger","öfke"
"angle","açı"
"angry","kızgın"
"animal","hayvan"
"ankle","ayak bileği"
"anniversary","yıldönümü"
"announce","duyurmak"
"announcement","duyuru"
"annoy","rahatsız etmek"
"annoyed","rahatsız"
"annoying","rahatsız edici"
"annual","yıllık"
"another","başka"
"answer","cevap"
"anxious","endişeli"
"any","herhangi"
"anybody","herkes"
"anymore","artık"
"anyone","herkes"
"anything","her şey"
"anyway","her neyse"
"anywhere","her yerde"
"apart","ayrı"
"apartment","daire"
"apparent","açık"
"apparently","görünüşe göre"
"appeal","çekicilik"
"appear","görünmek"
"appearance","görünüm"
"apple","elma"
"application","uygulama"
"apply","uygulamak"
"appoint","atamak"
"appointment","randevu"
"appreciate","takdir etmek"
"approach","yaklaşım"
"appropriate","uygun"
"approval","onay"
"approve","onaylamak"
"approximately","yaklaşık"
"architect","mimar"
"architecture","mimari"
"area","alan"
"argue","tartışmak"
"argument","tartışma"
"arise","ortaya çıkmak"
"arm","kol"
"armed","silahlı"
"army","ordu"
"around","etrafında"
"arrange","düzenlemek"
"arrangement","düzenleme"
"arrest","tutuklamak"
"arrival","varış"
"arrive","varmak"
"art","sanat"
"article","makale"
"artist","sanatçı"
"artistic","sanatsal"
"as","olarak"
"ashamed","utanmış"
"ask","sormak"
"asleep","uykuda"
"aspect","bakış açısı"
"assess","değerlendirmek"
"assessment","değerlendirme"
"assignment","görev"
"assist","yardım etmek"
"assistance","yardım"
"assistant","asistan"
"associate","ilişkilendirmek"
"associated","ilişkili" 